,soft,perf,nb_inputs,nb_config,mae
553,x264,kbs,5,0.5,0.44855027126628727
554,x264,kbs,10,0.5,0.40614032616829276
555,x264,kbs,25,0.5,0.3681193936154633
556,x264,kbs,50,0.5,0.33840035340674246
557,x264,kbs,100,0.5,0.3255410101123095
558,x264,kbs,200,0.5,0.30787711369110116
559,x264,kbs,300,0.5,0.3014897001194673
560,x264,kbs,500,0.5,0.29495789503299263
561,x264,kbs,1000,0.5,0.2885347226370046
562,x264,fps,2,0.5,0.2883051375284059
563,x264,fps,5,0.5,0.24195474623756696
564,x264,fps,10,0.5,0.22139685396480907
565,x264,fps,25,0.5,0.19391353882015572
566,x264,fps,50,0.5,0.1732582667180777
567,x264,fps,100,0.5,0.1571542299966254
568,x264,fps,200,0.5,0.147874208784544
569,x264,fps,300,0.5,0.14254814577035835
570,x264,fps,500,0.5,0.13862103919832056
571,x264,fps,1000,0.5,0.13467599148664045
572,x264,etime,2,0.5,0.14875695303395384
573,x264,etime,5,0.5,0.12274527742574327
574,x264,etime,10,0.5,0.1133294083613193
575,x264,etime,25,0.5,0.09945049002258666
576,x264,etime,50,0.5,0.09255327037916998
577,x264,etime,100,0.5,0.0860611397945513
578,x264,etime,200,0.5,0.08196641940576642
579,x264,etime,300,0.5,0.07938948855528184
580,x264,etime,500,0.5,0.07734622865133828
581,x264,etime,1000,0.5,0.07530567783665185
582,x264,cpu,2,0.5,0.440576233681969
583,x264,cpu,5,0.5,0.39129472521494274
584,x264,cpu,10,0.5,0.3405250821991176
585,x264,cpu,25,0.5,0.30602096319245425
586,x264,cpu,50,0.5,0.2837197957199318
587,x264,cpu,100,0.5,0.2631234942249251
588,x264,cpu,200,0.5,0.2519803275289496
589,x264,cpu,300,0.5,0.24327052360170529
590,x264,cpu,500,0.5,0.23788931753463854
591,x264,cpu,1000,0.5,0.2311907089313164
592,x264,size,2,0.6,0.5125982030912326
593,x264,size,5,0.6,0.4576344054848853
