,soft,perf,nb_inputs,is_tech,mae
268,x264,fps,50,random,0.23524849536470677
269,x264,fps,50,kmeans,0.24352942505278646
270,x264,fps,50,submodular,0.22788561151679315
271,x264,fps,50,hdbscan,0.22724765637906294
272,x264,fps,100,random,0.22716670421098334
273,x264,fps,100,kmeans,0.24425827255387236
274,x264,fps,100,submodular,0.22713650010658717
275,x264,fps,100,hdbscan,0.2277546552250652
276,x264,fps,200,random,0.2270020629271598
277,x264,fps,200,kmeans,0.24410780753821185
278,x264,fps,200,submodular,0.2295089497081674
279,x264,fps,200,hdbscan,0.22863882936003033
280,x264,fps,300,random,0.22718385383656678
281,x264,fps,300,kmeans,0.242023672742883
282,x264,fps,300,submodular,0.22932456713798682
283,x264,fps,300,hdbscan,0.22951041362508331
284,x264,fps,500,random,0.22902770771733047
285,x264,fps,500,kmeans,0.23887415629978292
286,x264,fps,500,submodular,0.23729990567236725
287,x264,fps,500,hdbscan,0.23253165441037665
288,x264,fps,1000,random,0.2301885871171859
289,x264,fps,1000,kmeans,0.22881034154667126
290,x264,fps,1000,submodular,0.2641362937614636
291,x264,fps,1000,hdbscan,0.23786943032470118
292,x264,etime,2,random,0.14201986692159366
293,x264,etime,2,kmeans,0.15431802349189955
294,x264,etime,2,submodular,0.138175897336592
295,x264,etime,2,hdbscan,0.201627225549794
296,x264,etime,5,random,0.15006649829034974
297,x264,etime,5,kmeans,0.11539308003818953
298,x264,etime,5,submodular,0.1129034679713689
299,x264,etime,5,hdbscan,0.11924025759699741
300,x264,etime,10,random,0.1124141228122076
301,x264,etime,10,kmeans,0.11424087412542883
302,x264,etime,10,submodular,0.11064864181119534
303,x264,etime,10,hdbscan,0.11222259484769084
304,x264,etime,25,random,0.10847573261301964
305,x264,etime,25,kmeans,0.11008003512679983
306,x264,etime,25,submodular,0.10867156253843153
307,x264,etime,25,hdbscan,0.10930770425868937
308,x264,etime,50,random,0.1098831633491407
309,x264,etime,50,kmeans,0.10892637693543641
310,x264,etime,50,submodular,0.1080297430382241
311,x264,etime,50,hdbscan,0.10878588665236118
312,x264,etime,100,random,0.10798480111539721
313,x264,etime,100,kmeans,0.10902165985734798
314,x264,etime,100,submodular,0.11085878212044283
315,x264,etime,100,hdbscan,0.10841576323114785
316,x264,etime,200,random,0.10781128092379877
317,x264,etime,200,kmeans,0.10982917177616203
318,x264,etime,200,submodular,0.1112778752873929
319,x264,etime,200,hdbscan,0.10876112004935908
320,x264,etime,300,random,0.10696442556576262
321,x264,etime,300,kmeans,0.110974487398137
322,x264,etime,300,submodular,0.11105931137234822
323,x264,etime,300,hdbscan,0.10949042263505313
324,x264,etime,500,random,0.10885700560664151
325,x264,etime,500,kmeans,0.11092975985609624
326,x264,etime,500,submodular,0.11280139206471321
327,x264,etime,500,hdbscan,0.11128119523755306
328,x264,etime,1000,random,0.10858627264409068
329,x264,etime,1000,kmeans,0.10837305207490142
330,x264,etime,1000,submodular,0.11686628301393767
331,x264,etime,1000,hdbscan,0.11481446639994349
332,x264,cpu,2,random,0.3842991284421106
333,x264,cpu,2,kmeans,0.4564313208769952
