,soft,perf,nb_inputs,is_tech,mae
140,xz,time,10,random,0.355318610266312
141,xz,time,10,kmeans,0.33833411951580383
142,xz,time,10,submodular,0.3229183449689187
143,xz,time,10,hdbscan,0.36857498689349805
144,xz,time,25,random,0.3046079792643954
145,xz,time,25,kmeans,0.3139362180055144
146,xz,time,25,submodular,0.31304647759611903
147,xz,time,25,hdbscan,0.3099650538825194
148,xz,time,30,random,0.29621020401587767
149,xz,time,30,kmeans,0.32715455907932645
150,xz,time,30,submodular,0.30450837552630233
151,xz,time,30,hdbscan,0.3027939770196972
152,x264,size,5,random,0.42503147653403184
153,x264,size,5,kmeans,0.4110830891050484
154,x264,size,5,submodular,0.4177842147303704
155,x264,size,5,hdbscan,0.45734162234943854
156,x264,size,10,random,0.4243006078918386
157,x264,size,10,kmeans,0.4022457545556418
158,x264,size,10,submodular,0.4245367613929429
159,x264,size,10,hdbscan,0.42925275576438826
160,x264,size,25,random,0.40578035554210834
161,x264,size,25,kmeans,0.40628766446295617
162,x264,size,25,submodular,0.40704235218434476
163,x264,size,25,hdbscan,0.4140759554014414
164,x264,size,50,random,0.39962209819195876
165,x264,size,50,kmeans,0.4022028320049902
166,x264,size,50,submodular,0.3997951098402889
167,x264,size,50,hdbscan,0.40672095843612677
168,x264,size,100,random,0.4002896027391124
169,x264,size,100,kmeans,0.40022230200207104
170,x264,size,100,submodular,0.4117962611018039
171,x264,size,100,hdbscan,0.40301654161104467
172,x264,size,200,random,0.39969404961648064
173,x264,size,200,kmeans,0.40163990626451207
174,x264,size,200,submodular,0.4143958183390513
175,x264,size,200,hdbscan,0.40434730724067147
176,x264,size,300,random,0.39807311172987864
177,x264,size,300,kmeans,0.4035273500952507
178,x264,size,300,submodular,0.41059635793251587
179,x264,size,300,hdbscan,0.4023068228671657
180,x264,size,500,random,0.3967190409808515
181,x264,size,500,kmeans,0.40000864098095174
182,x264,size,500,submodular,0.4132895440310236
183,x264,size,500,hdbscan,0.40419267884921056
184,x264,size,1000,random,0.3975209204101978
185,x264,size,1000,kmeans,0.39065658656264074
186,x264,size,1000,submodular,0.39897141147180254
187,x264,size,1000,hdbscan,0.4079517321899996
188,x264,kbs,5,random,0.4250314923325914
189,x264,kbs,5,kmeans,0.4110831293494144
190,x264,kbs,5,submodular,0.41778425927880497
191,x264,kbs,5,hdbscan,0.4573417816205031
192,x264,kbs,10,random,0.4243006113510199
193,x264,kbs,10,kmeans,0.4022458151644967
194,x264,kbs,10,submodular,0.4245367964039688
195,x264,kbs,10,hdbscan,0.42925275540537255
196,x264,kbs,25,random,0.4057804109085409
197,x264,kbs,25,kmeans,0.4062876741229034
198,x264,kbs,25,submodular,0.40704239718317836
199,x264,kbs,25,hdbscan,0.4140760422308028
200,x264,kbs,50,random,0.39962216546773277
201,x264,kbs,50,kmeans,0.40220289924588215
202,x264,kbs,50,submodular,0.39979517951160465
203,x264,kbs,50,hdbscan,0.4067209928719978
204,x264,kbs,100,random,0.40028969816575144
205,x264,kbs,100,kmeans,0.40022238276644717
206,x264,kbs,100,submodular,0.41179633430040125
207,x264,kbs,100,hdbscan,0.40301661791093946
208,x264,kbs,200,random,0.399694140653999
209,x264,kbs,200,kmeans,0.4016399793061681
210,x264,kbs,200,submodular,0.4143959200979115
211,x264,kbs,200,hdbscan,0.40434738467755044
212,x264,kbs,300,random,0.3980731865943804
213,x264,kbs,300,kmeans,0.40352742671434705
214,x264,kbs,300,submodular,0.4105964916075723
215,x264,kbs,300,hdbscan,0.402306912011121
216,x264,kbs,500,random,0.3967190904029717
217,x264,kbs,500,kmeans,0.40000872297330775
218,x264,kbs,500,submodular,0.4132896660256568
219,x264,kbs,500,hdbscan,0.40419277442163837
220,x264,kbs,1000,random,0.39752101713093857
221,x264,kbs,1000,kmeans,0.39065669581919327
222,x264,kbs,1000,submodular,0.3989716257092423
223,x264,kbs,1000,hdbscan,0.40795182935961993
224,x264,fps,5,random,0.23418059992414558
225,x264,fps,5,kmeans,0.24575388447009935
226,x264,fps,5,submodular,0.2388507807831918
227,x264,fps,5,hdbscan,0.2539029687197481
228,x264,fps,10,random,0.24806647216328517
229,x264,fps,10,kmeans,0.24940953354588613
230,x264,fps,10,submodular,0.2368275461609223
231,x264,fps,10,hdbscan,0.2346224346116183
232,x264,fps,25,random,0.2256117106275788
233,x264,fps,25,kmeans,0.23974694932052762
234,x264,fps,25,submodular,0.23197418265226225
235,x264,fps,25,hdbscan,0.22941767834409169
236,x264,fps,50,random,0.22606821906423566
237,x264,fps,50,kmeans,0.24352942505278646
238,x264,fps,50,submodular,0.22753736057936433
239,x264,fps,50,hdbscan,0.22724765637906294
240,x264,fps,100,random,0.22935368957663987
241,x264,fps,100,kmeans,0.24425827255387236
242,x264,fps,100,submodular,0.22710599844105972
243,x264,fps,100,hdbscan,0.2277546552250652
244,x264,fps,200,random,0.22787910201153014
245,x264,fps,200,kmeans,0.24410780753821185
246,x264,fps,200,submodular,0.2295089497081674
247,x264,fps,200,hdbscan,0.22863882936003033
248,x264,fps,300,random,0.22810361094553794
249,x264,fps,300,kmeans,0.242023672742883
250,x264,fps,300,submodular,0.2301950956380742
251,x264,fps,300,hdbscan,0.22951041362508331
252,x264,fps,500,random,0.22774419424996245
253,x264,fps,500,kmeans,0.23887415629978292
254,x264,fps,500,submodular,0.23729990567236725
255,x264,fps,500,hdbscan,0.23253165441037665
256,x264,fps,1000,random,0.22653780047715225
257,x264,fps,1000,kmeans,0.22881034154667126
258,x264,fps,1000,submodular,0.26537067214367765
259,x264,fps,1000,hdbscan,0.23786943032470115
260,x264,etime,5,random,0.11731106889522629
261,x264,etime,5,kmeans,0.11539308003818953
262,x264,etime,5,submodular,0.11252755227852702
263,x264,etime,5,hdbscan,0.11924025759699741
264,x264,etime,10,random,0.10942260001517704
265,x264,etime,10,kmeans,0.11424087412542883
266,x264,etime,10,submodular,0.11089943179869541
267,x264,etime,10,hdbscan,0.11222259484769084
268,x264,etime,25,random,0.10791558358858841
269,x264,etime,25,kmeans,0.11008003512679983
270,x264,etime,25,submodular,0.10881902066801016
271,x264,etime,25,hdbscan,0.10930770425868937
272,x264,etime,50,random,0.10891642141403604
273,x264,etime,50,kmeans,0.10892637693543641
274,x264,etime,50,submodular,0.10834863647281394
275,x264,etime,50,hdbscan,0.10878588665236118
276,x264,etime,100,random,0.10772166527627396
277,x264,etime,100,kmeans,0.10902165985734798
278,x264,etime,100,submodular,0.11102262122463984
279,x264,etime,100,hdbscan,0.10841576323114784
280,x264,etime,200,random,0.10827709023484626
281,x264,etime,200,kmeans,0.10982917177616203
282,x264,etime,200,submodular,0.1112778752873929
283,x264,etime,200,hdbscan,0.10876112004935908
284,x264,etime,300,random,0.10870182824634848
285,x264,etime,300,kmeans,0.110974487398137
286,x264,etime,300,submodular,0.11131420123219313
287,x264,etime,300,hdbscan,0.10949042263505313
288,x264,etime,500,random,0.10744664675075236
